"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GNLY",2.00064824668367e-235,0.709954820300113,0.972,0.683,3.19423499065515e-231,"ncpf","GNLY"
"HSPB1",6.4866784188685e-201,1.78750436473684,0.793,0.429,1.03566307635654e-196,"ncpf","HSPB1"
"HSPA1B",3.02547918821273e-90,1.85570880870569,0.519,0.247,4.83048007190044e-86,"ncpf","HSPA1B"
"HSPA6",1.21419190841875e-88,2.51507493463011,0.298,0.067,1.93857880098138e-84,"ncpf","HSPA6"
"DNAJB1",3.43512598019508e-76,1.33401909701967,0.82,0.675,5.48452213997947e-72,"ncpf","DNAJB1"
"CRIP1",2.45629069788489e-67,0.854716608858157,0.745,0.577,3.92171372824301e-63,"ncpf","CRIP1"
"HSPA1A",5.36599244070268e-67,1.70377746111624,0.752,0.574,8.5673435308259e-63,"ncpf","HSPA1A"
"HSP90AA1",3.89339433697849e-61,1.16576694461575,0.94,0.898,6.21619339841986e-57,"ncpf","HSP90AA1"
"HSPE1",2.01245714688414e-59,1.08474297443681,0.812,0.694,3.21308908071521e-55,"ncpf","HSPE1"
"ZFAND2A",6.69653343627889e-54,1.18662575270003,0.327,0.137,1.06916852843629e-49,"ncpf","ZFAND2A"
"MIF",1.48094551081268e-53,0.600615738802265,0.687,0.502,2.36447760256353e-49,"ncpf","MIF"
"IFITM1",4.43947880484975e-53,0.712953131175992,0.637,0.447,7.0880718598231e-49,"ncpf","IFITM1"
"PAEP",1.85702657157969e-50,0.73524290864789,0.393,0.189,2.96492862418413e-46,"ncpf","PAEP"
"RPS3A",1.71709737417003e-44,0.27577508050017,0.985,0.972,2.74151766759986e-40,"ncpf","RPS3A"
"CCL3L3",2.39913587684669e-40,0.604031169365482,0.741,0.605,3.83046034097342e-36,"ncpf","CCL3L3"
"HLA-DRB1",6.02768106848981e-37,0.423623563625494,0.76,0.585,9.62379559395083e-33,"ncpf","HLA-DRB1"
"CACYBP",1.88630082316563e-36,0.755139254986561,0.518,0.347,3.01166789426624e-32,"ncpf","CACYBP"
"HSP90AB1",3.32082641918481e-35,0.681803056555622,0.809,0.711,5.30203146087047e-31,"ncpf","HSP90AB1"
"HSPH1",4.994015010915e-32,0.902360117184329,0.439,0.29,7.97344436642689e-28,"ncpf","HSPH1"
"CTSW",9.35756456759646e-32,0.511823793875673,0.63,0.452,1.49402875886245e-27,"ncpf","CTSW"
"DNAJA1",5.94415485051621e-30,0.576132763809678,0.713,0.592,9.49043763433419e-26,"ncpf","DNAJA1"
"CCL4L2",1.07781470102547e-28,0.398250531858283,0.896,0.818,1.72083895165727e-24,"ncpf","CCL4L2"
"HSPD1",4.35667411086431e-28,0.910606352421114,0.477,0.353,6.95586588540596e-24,"ncpf","HSPD1"
"DEDD2",8.95542238501543e-21,0.535891861417847,0.299,0.183,1.42982273799156e-16,"ncpf","DEDD2"
"JUND",1.03987012435149e-20,0.424774055083668,0.666,0.56,1.6602566405396e-16,"ncpf","JUND"
"NR4A1",2.88721237936684e-19,0.542624109020257,0.297,0.187,4.6097232848971e-15,"ncpf","NR4A1"
"GADD45B",3.06684109946979e-18,0.408385175345198,0.778,0.678,4.89651849941346e-14,"ncpf","GADD45B"
"SLC38A2",3.14352874841443e-18,0.437951472829267,0.401,0.281,5.01895799971847e-14,"ncpf","SLC38A2"
"DOK2",8.61738133630841e-18,0.569586771010428,0.41,0.303,1.375851104155e-13,"ncpf","DOK2"
"MT-ND4L",7.81929942612027e-17,0.442858833133586,0.37,0.257,1.24842934637436e-12,"ncpf","MT-ND4L"
"IFNG",2.08929788749094e-16,0.746032673151549,0.333,0.224,3.33577300716803e-12,"ncpf","IFNG"
"MT-ND5",2.74973275993311e-16,0.351889211460136,0.81,0.733,4.3902233245092e-12,"ncpf","MT-ND5"
"XCL1",9.35324487767518e-15,0.57127580626939,0.357,0.257,1.49333907716962e-10,"ncpf","XCL1"
"XCL2",6.58417311327867e-14,0.419602102843217,0.526,0.423,1.05122907926607e-09,"ncpf","XCL2"
"IER5",2.10969435832875e-13,0.371290437736038,0.294,0.202,3.36833801250769e-09,"ncpf","IER5"
"SQSTM1",5.49930582082632e-13,0.399406382596869,0.445,0.346,8.7801916735313e-09,"ncpf","SQSTM1"
"ZC3HAV1",1.81938283061297e-12,0.394639510002217,0.321,0.23,2.90482662735667e-08,"ncpf","ZC3HAV1"
"AC092580.4",4.70097562154678e-12,0.380433807681382,0.517,0.421,7.50557767736159e-08,"ncpf","AC092580.4"
"SNHG25",5.85735164907341e-12,0.349984585723573,0.256,0.171,9.3518476429106e-08,"ncpf","SNHG25"
"UBB",8.34335147328952e-12,0.280148754153404,0.959,0.964,1.3320994962254e-07,"ncpf","UBB"
"RILPL2",9.9970552563095e-12,0.358767573861425,0.274,0.189,1.59612984222237e-07,"ncpf","RILPL2"
"MYLIP",1.10877417440621e-11,0.333499014903754,0.254,0.169,1.77026884685695e-07,"ncpf","MYLIP"
"PPP1R15A",1.71447882506252e-10,0.303726685299412,0.659,0.583,2.73733689209482e-06,"ncpf","PPP1R15A"
"DUSP2",3.3030471433818e-10,0.27139033180822,0.825,0.777,5.27364506912338e-06,"ncpf","DUSP2"
"TXNIP",4.9537059386944e-10,0.378850895460904,0.314,0.234,7.90908690171947e-06,"ncpf","TXNIP"
"CLK1",1.5258040069319e-09,0.322089325639037,0.556,0.481,2.43609867746747e-05,"ncpf","CLK1"
"TSPYL2",4.23136071467031e-09,0.35142642204475,0.318,0.242,6.75579051704262e-05,"ncpf","TSPYL2"
"CKS2",7.71115282970425e-09,0.350505905762653,0.353,0.281,0.000123116266079058,"ncpf","CKS2"
"GPBP1",9.56439249351921e-09,0.308703828965476,0.392,0.311,0.000152705090551528,"ncpf","GPBP1"
"CHORDC1",3.18984241153663e-08,0.278640316885129,0.255,0.185,0.000509290239425938,"ncpf","CHORDC1"
"PMAIP1",1.29179378091152e-07,0.31831694709832,0.301,0.228,0.00206247795060334,"ncpf","PMAIP1"
"HSPA8",1.3255174582952e-07,0.409510238541047,0.87,0.874,0.00211632117391411,"ncpf","HSPA8"
"PTGES3",1.84042127542871e-07,0.329429486605651,0.56,0.517,0.00293841660834948,"ncpf","PTGES3"
"FNBP1",3.37190813255725e-07,0.264014322810643,0.465,0.399,0.00538358852444091,"ncpf","FNBP1"
"TCP1",1.45751346097153e-06,0.277472438231061,0.281,0.22,0.0232706599178715,"ncpf","TCP1"
"PRMT9",3.37503286551861e-06,0.260996655069703,0.257,0.201,0.0538857747308701,"ncpf","PRMT9"
"RGS2",3.33524301375957e-05,0.361377839818257,0.46,0.414,0.532504899576852,"ncpf","RGS2"
"DNAJB6",6.11249928530886e-05,0.255491740316507,0.56,0.524,0.975921635892413,"ncpf","DNAJB6"
"CD69",9.7757915728677e-05,0.251696409309161,0.704,0.673,1,"ncpf","CD69"
"UBC",0.000386895047912202,0.282112133778672,0.977,0.971,1,"ncpf","UBC"
"IGKC",5.6161428803113e-179,1.46935369970941,0.364,0.016,8.96673372270502e-175,"rpl","IGKC"
"RPS26",8.17397832486793e-179,1.16222650161166,0.915,0.767,1.30505737934841e-174,"rpl","RPS26"
"HLA-B",3.06699393378126e-138,0.527783888808545,0.999,0.993,4.89676251467516e-134,"rpl","HLA-B"
"CXCR4",9.61094746585167e-84,0.719658957140564,0.954,0.869,1.53448387239788e-79,"rpl","CXCR4"
"CCL3",9.35839074728315e-52,0.438205747936047,0.851,0.725,1.49416066671123e-47,"rpl","CCL3"
"SPP1",5.48600950941141e-48,0.804305778715224,0.281,0.106,8.75896278272625e-44,"rpl","SPP1"
"SARAF",6.94958448213466e-34,0.382016441701753,0.871,0.809,1.10957065841762e-29,"rpl","SARAF"
"RPL36AL",6.96402075901553e-28,0.326663497347675,0.906,0.85,1.11187555438442e-23,"rpl","RPL36AL"
"CREM",1.00775885268141e-27,0.431565193778964,0.828,0.724,1.60898778419113e-23,"rpl","CREM"
"BTG1",8.83755362281708e-27,0.299353378262246,0.975,0.959,1.41100381141898e-22,"rpl","BTG1"
"RGS1",5.1859995547761e-26,0.46846529281517,0.842,0.75,8.27996688915553e-22,"rpl","RGS1"
"ARHGDIB",4.48095339859657e-25,0.287798532887722,0.939,0.887,7.15429019619929e-21,"rpl","ARHGDIB"
"LY6E",5.74356198411869e-25,0.41125740709974,0.687,0.571,9.1701710638439e-21,"rpl","LY6E"
"IFI6",7.05762998673207e-25,0.501093104182662,0.388,0.249,1.12682120368164e-20,"rpl","IFI6"
"HLA-DPB1",1.18817865385796e-20,0.418551820292624,0.697,0.603,1.89704603874962e-16,"rpl","HLA-DPB1"
"ISG20",3.12879049502e-19,0.388609398009068,0.581,0.463,4.99542690434893e-15,"rpl","ISG20"
"TSC22D3",3.35013345133301e-19,0.359455893945507,0.828,0.737,5.34882306839829e-15,"rpl","TSC22D3"
"FTH1",3.07168497962373e-17,0.291285539952807,0.998,0.995,4.90425223846725e-13,"rpl","FTH1"
"CXCL8",7.91315954350602e-17,0.433502192803286,0.321,0.217,1.26341505271617e-12,"rpl","CXCL8"
"RPS27L",1.62924212812645e-16,0.457866558848214,0.503,0.399,2.6012479817667e-12,"rpl","RPS27L"
"LEPROTL1",4.118123088419e-16,0.305381456070978,0.683,0.59,6.57499532296978e-12,"rpl","LEPROTL1"
"CD53",1.64311207623159e-15,0.328495978519631,0.671,0.602,2.62339274091135e-11,"rpl","CD53"
"CXCR6",9.41457408268992e-15,0.452303350100457,0.251,0.158,1.50313089804227e-10,"rpl","CXCR6"
"CSTB",1.03821961514848e-13,0.339967940458478,0.468,0.368,1.65762143754607e-09,"rpl","CSTB"
"PSMB9",2.70844035494062e-13,0.310874609277277,0.59,0.497,4.3242958706982e-09,"rpl","PSMB9"
"GZMB",5.00644283477312e-13,0.669630798467717,0.448,0.357,7.99328662999877e-09,"rpl","GZMB"
"PRF1",2.71167532572544e-12,0.521398749566003,0.341,0.25,4.32946082505324e-08,"rpl","PRF1"
"ARID5B",4.63435216976103e-12,0.368018165779269,0.279,0.192,7.39920667424045e-08,"rpl","ARID5B"
"HLA-DPA1",4.90663379272695e-11,0.315592600744779,0.592,0.512,7.83393151346784e-07,"rpl","HLA-DPA1"
"FAM177A1",7.74652837918675e-11,0.288378026275064,0.606,0.522,1.23681072102096e-06,"rpl","FAM177A1"
"C1QA",2.43251646318448e-10,0.281757881577883,0.307,0.223,3.88375578512034e-06,"rpl","C1QA"
"SH2D2A",3.95227897938412e-10,0.28949863675945,0.323,0.241,6.31020861848469e-06,"rpl","SH2D2A"
"TSTD1",4.29706089137923e-10,0.281805916427931,0.331,0.251,6.86068741917608e-06,"rpl","TSTD1"
"HLA-DRB5",2.73263695111161e-09,0.304974569248017,0.334,0.256,4.3629281561448e-05,"rpl","HLA-DRB5"
"BIRC3",4.99599384977694e-09,0.309645723871956,0.4,0.315,7.97660378055387e-05,"rpl","BIRC3"
"CD2",2.76796110686311e-08,0.269168579087375,0.739,0.697,0.000441932670321764,"rpl","CD2"
"IL7R",9.4248973804706e-07,0.305495346938393,0.298,0.235,0.0150477911576594,"rpl","IL7R"
"TIGIT",4.68466646579055e-06,0.284116865996742,0.273,0.218,0.0747953847928119,"rpl","TIGIT"
"GPR183",2.58238898074268e-05,0.259058234905368,0.438,0.386,0.412304224665376,"rpl","GPR183"
"DUSP4",8.26785267908451e-05,0.280182551268909,0.367,0.319,1,"rpl","DUSP4"
